E001,Event,Rainy Season Preparedness,15/05/2026,All India,All Out Refill,High,1
E001,Event,Rainy Season Preparedness,15/05/2026,All India,Odomos,High,1
E001,Event,Rainy Season Preparedness,15/05/2026,All India,Maggi,High,1
E001,Event,Rainy Season Preparedness,15/05/2026,All India,Knorr Soup,High,1
E001,Event,Rainy Season Preparedness,15/05/2026,All India,Taj Mahal Tea,High,1
E001,Event,Rainy Season Preparedness,15/05/2026,All India,Pakoda Mix,High,1
E001,Event,Rainy Season Preparedness,15/05/2026,All India,Dettol Handwash,High,1
E001,Event,Rainy Season Preparedness,15/05/2026,All India,Umbrellas,Medium,1
E001,Event,Rainy Season Preparedness,15/05/2026,All India,Crocin/Paracetamol,High,1
E001,Event,Rainy Season Preparedness,15/05/2026,All India,Vicks VapoRub,Medium,1
E001,Event,Rainy Season Preparedness,15/05/2026,All India,Mortein Spray,Medium,1
E002,Event,School Reopening Season,01/06/2026,All India,Nescafé,High,0
E002,Event,School Reopening Season,01/06/2026,All India,Maggi,High,0
E002,Event,School Reopening Season,01/06/2026,All India,Classmate Notebooks,High,0
E002,Event,School Reopening Season,01/06/2026,All India,Red Bull,High,0
E002,Event,School Reopening Season,01/06/2026,All India,Oreo,Medium,0
E002,Event,School Reopening Season,01/06/2026,All India,Reynolds Pens,High,0
E002,Event,School Reopening Season,01/06/2026,All India,Good Day,Medium,0
E002,Event,School Reopening Season,01/06/2026,All India,Bru,Medium,0
E002,Event,School Reopening Season,01/06/2026,All India,Highlighters,Medium,0
E002,Event,School Reopening Season,01/06/2026,All India,Milton Water Bottles,Medium,0
E002,Event,School Reopening Season,01/06/2026,All India,Monster Energy,Low,0
E003,Event,Salary Credit Cycle,01/06/2026,All India,Ferrero Rocher,High,0
E003,Event,Salary Credit Cycle,01/06/2026,All India,Dove Body Wash,Medium,0
E003,Event,Salary Credit Cycle,01/06/2026,All India,Hershey's Syrup,Medium,0
E003,Event,Salary Credit Cycle,01/06/2026,All India,Magnum Ice Cream,High,0
E003,Event,Salary Credit Cycle,01/06/2026,All India,Baskin Robbins,Medium,0
E003,Event,Salary Credit Cycle,01/06/2026,All India,"Exotic Fruits (Kiwi, Dragonfruit)",Low,0
E003,Event,Salary Credit Cycle,01/06/2026,All India,L'Oreal Shampoo,Medium,0
E003,Event,Salary Credit Cycle,01/06/2026,All India,Nutella,High,0
E003,Event,Salary Credit Cycle,01/06/2026,All India,Red Bull,Medium,0
E003,Event,Salary Credit Cycle,01/06/2026,All India,Pringles,Medium,0
E004,Event,FIFA World Cup Tournament Window,11/06/2026,Metro Cities,Lay's,High,0
E004,Event,FIFA World Cup Tournament Window,11/06/2026,Metro Cities,Coca-Cola,High,0
E004,Event,FIFA World Cup Tournament Window,11/06/2026,Metro Cities,Red Bull,High,0
E004,Event,FIFA World Cup Tournament Window,11/06/2026,Metro Cities,Doritos,High,0
E004,Event,FIFA World Cup Tournament Window,11/06/2026,Metro Cities,Frozen Pizza,High,0
E004,Event,FIFA World Cup Tournament Window,11/06/2026,Metro Cities,Popcorn,High,0
E004,Event,FIFA World Cup Tournament Window,11/06/2026,Metro Cities,Thums Up,Medium,0
E004,Event,FIFA World Cup Tournament Window,11/06/2026,Metro Cities,McCain Smiles,Medium,0
E004,Event,FIFA World Cup Tournament Window,11/06/2026,Metro Cities,Amul Ice Cream,Medium,0
E004,Event,FIFA World Cup Tournament Window,11/06/2026,Metro Cities,Kurkure,Medium,0
E004,Event,FIFA World Cup Tournament Window,11/06/2026,Metro Cities,Sprite,Medium,0
E004,Event,FIFA World Cup Tournament Window,11/06/2026,Metro Cities,Bikaneri Bhujia,Low,0
E005,Event,UEFA Euro Tournament Window,12/06/2026,Metro Cities,Lay's,High,1
E005,Event,UEFA Euro Tournament Window,12/06/2026,Metro Cities,Coca-Cola,High,1
E005,Event,UEFA Euro Tournament Window,12/06/2026,Metro Cities,Red Bull,High,1
E005,Event,UEFA Euro Tournament Window,12/06/2026,Metro Cities,Doritos,High,1
E005,Event,UEFA Euro Tournament Window,12/06/2026,Metro Cities,Frozen Pizza,High,1
E005,Event,UEFA Euro Tournament Window,12/06/2026,Metro Cities,Popcorn,High,1
E005,Event,UEFA Euro Tournament Window,12/06/2026,Metro Cities,Thums Up,Medium,1
E005,Event,UEFA Euro Tournament Window,12/06/2026,Metro Cities,McCain Smiles,Medium,1
E005,Event,UEFA Euro Tournament Window,12/06/2026,Metro Cities,Amul Ice Cream,Medium,1
E005,Event,UEFA Euro Tournament Window,12/06/2026,Metro Cities,Kurkure,Medium,1
E005,Event,UEFA Euro Tournament Window,12/06/2026,Metro Cities,Sprite,Medium,1
E005,Event,UEFA Euro Tournament Window,12/06/2026,Metro Cities,Bikaneri Bhujia,Low,1
E006,Event,College Admissions Season,15/06/2026,All India,Nescafé,High,0
E006,Event,College Admissions Season,15/06/2026,All India,Maggi,High,0
E006,Event,College Admissions Season,15/06/2026,All India,Classmate Notebooks,High,0
E006,Event,College Admissions Season,15/06/2026,All India,Red Bull,High,0
E006,Event,College Admissions Season,15/06/2026,All India,Oreo,Medium,0
E006,Event,College Admissions Season,15/06/2026,All India,Reynolds Pens,High,0
E006,Event,College Admissions Season,15/06/2026,All India,Good Day,Medium,0
E006,Event,College Admissions Season,15/06/2026,All India,Bru,Medium,0
E006,Event,College Admissions Season,15/06/2026,All India,Highlighters,Medium,0
E006,Event,College Admissions Season,15/06/2026,All India,Milton Water Bottles,Medium,0
